,,,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
1,Detroit Lions,17,,,3,3,10,10,8,7,8,6,29,26,58,89.7%,67,64,95.5%,110,7053,85,77.3%,64.1
2,Buffalo Bills,17,,,7,6,7,7,11,7,4,4,29,24,61,82.8%,64,59,92.2%,103,6514,75,72.8%,63.2
3,Baltimore Ravens,17,,,4,4,7,7,8,5,11,6,30,22,56,73.3%,62,60,96.8%,105,6732,76,72.4%,64.1
4,Washington Commanders,17,,,11,11,8,8,15,13,8,2,42,34,55,81.0%,47,45,95.7%,102,6218,25,24.5%,61.0
5,Tampa Bay Buccaneers,17,,,11,11,7,7,4,4,10,8,32,30,56,93.8%,56,54,96.4%,106,6692,80,75.5%,63.1
6,Minnesota Vikings,17,,,8,8,10,9,12,9,12,9,42,35,58,83.3%,46,45,97.8%,98,6221,81,82.7%,63.5
7,Cincinnati Bengals,17,,,11,11,7,6,7,4,8,4,33,25,59,75.8%,53,51,96.2%,98,6123,74,75.5%,62.5
8,Green Bay Packers,17,,,9,9,13,12,13,8,3,3,38,32,55,84.2%,46,46,100.0%,95,6005,44,46.3%,63.2
9,Philadelphia Eagles,17,,,9,9,11,10,9,8,7,1,36,28,50,77.8%,48,47,97.9%,97,6171,66,68.0%,63.6
10,San Francisco 49ers,17,,,12,12,6,6,14,9,11,6,43,33,55,76.7%,40,38,95.0%,89,5425,52,58.4%,61.0
11,Denver Broncos,17,,,2,2,14,13,11,11,7,5,34,31,55,91.2%,46,46,100.0%,95,6022,70,73.7%,63.4
12,Atlanta Falcons,17,,,7,7,10,8,12,7,12,7,41,29,58,70.7%,38,38,100.0%,90,5774,62,68.9%,64.2
13,Pittsburgh Steelers,17,,,9,9,12,12,8,7,15,13,44,41,57,93.2%,35,35,100.0%,90,5713,49,54.4%,63.5
14,Houston Texans,17,,,10,8,11,11,5,4,16,13,42,36,59,85.7%,36,34,94.4%,88,5426,42,47.7%,61.7
15,Los Angeles Chargers,17,1,1,9,9,9,9,12,11,11,9,42,39,59,92.9%,36,33,91.7%,94,5962,65,69.1%,63.4
16,Dallas Cowboys,17,,,4,4,10,8,16,14,17,14,47,40,65,85.1%,30,30,100.0%,88,5341,43,48.9%,60.7
17,Kansas City Chiefs,17,1,1,10,9,12,12,7,7,7,3,37,32,53,86.5%,39,37,94.9%,87,5572,60,69.0%,64.0
18,Arizona Cardinals,17,,,7,7,12,12,14,10,5,5,38,34,58,89.5%,37,36,97.3%,87,5622,71,81.6%,64.6
19,Indianapolis Colts,17,,,9,9,12,12,7,7,9,3,37,31,56,83.8%,36,36,100.0%,88,5615,73,83.0%,63.8
20,Los Angeles Rams,17,,,11,10,10,9,6,4,7,6,34,29,58,85.3%,36,32,88.9%,86,5483,71,82.6%,63.8
21,Seattle Seahawks,17,,,4,4,6,6,8,7,12,9,30,26,59,86.7%,40,37,92.5%,86,5524,46,53.5%,64.2
22,Miami Dolphins,17,,,7,7,13,13,7,5,14,12,41,37,57,90.2%,28,26,92.9%,87,5421,66,75.9%,62.3
23,Las Vegas Raiders,17,,,10,10,11,11,8,6,11,7,40,34,54,85.0%,25,23,92.0%,80,4850,51,63.8%,60.6
24,New Orleans Saints,17,,,4,4,11,10,8,7,8,6,31,27,57,87.1%,33,31,93.9%,79,4978,21,26.6%,63.0
25,Carolina Panthers,17,,,7,7,9,8,8,6,2,1,26,22,53,84.6%,35,33,94.3%,76,4641,32,42.1%,61.1
26,New England Patriots,17,,,6,5,11,10,7,5,9,6,33,26,63,78.8%,26,25,96.2%,70,4348,46,65.7%,62.1
27,New York Jets,17,,,8,8,8,6,10,5,2,1,28,20,58,71.4%,31,28,90.3%,76,4818,44,57.9%,63.4
28,Jacksonville Jaguars,17,,,8,8,6,6,9,8,6,5,29,27,59,93.1%,27,27,100.0%,77,4882,65,84.4%,63.4
29,Tennessee Titans,17,,,6,6,5,5,9,8,7,6,27,25,56,92.6%,28,28,100.0%,70,4355,39,55.7%,62.2
30,New York Giants,17,,,5,5,8,7,12,8,3,3,28,23,53,82.1%,23,22,95.7%,70,4478,53,75.7%,64.0
31,Chicago Bears,17,,,4,4,4,4,8,5,9,8,25,21,54,84.0%,26,25,96.2%,72,4479,38,52.8%,62.2
32,Cleveland Browns,17,,,4,3,7,6,8,5,8,4,27,18,56,66.7%,21,18,85.7%,64,4041,38,59.4%,63.1
,Avg Team,,0.1,0.1,7.4,7.2,9.3,8.8,9.4,7.2,8.7,6.1,34.8,29.3,56.9,84.0%,38.8,37.2,95.8%,87.6,5515.6,56.3,64.3%,63.0
,League Total,,2,2,236,229,297,280,301,231,279,195,1115,937,,84.0%,1241,1189,95.8%,2803,176499,1803,64.3%,63.0
,Avg Tm/G,,,,0.4,0.4,0.5,0.5,0.6,0.4,0.5,0.4,2.0,1.7,,84.0%,2.3,2.2,95.8%,5.2,324.4,3.3,64.3%,63.0